PRO ID 	Category 	

PR:000037975	sequence
PR:000037930	sequence

PR:000039143	sequence
PR:000039142	sequence
PR:000039141	sequence
PR:000039128	sequence
PR:000039117	sequence
PR:000039098	sequence
PR:000039091	sequence
PR:000039013	sequence
PR:000039011	sequence
PR:000039002	sequence
PR:000038992	sequence
PR:000038990	sequence
PR:000038924	sequence
PR:000038915	sequence
PR:000038902	sequence
PR:000038894	sequence
PR:000038881	sequence
PR:000038816	sequence
PR:000038745	sequence
PR:000038737	sequence
PR:000038688	sequence
PR:000038679	sequence
PR:000038676	sequence
PR:000038542	sequence

PR:000039737	sequence
PR:000039736	sequence
PR:000039730	sequence
PR:000039700	sequence
PR:000039693	sequence
PR:000039692	sequence
PR:000039645	sequence
PR:000039605	sequence
PR:000039599	sequence
PR:000039598	sequence
PR:000039592	sequence
PR:000039591	sequence
PR:000039590	sequence
PR:000039579	sequence
PR:000039572	sequence
PR:000039550	sequence
PR:000039493	sequence
PR:000039492	sequence
PR:000039472	sequence
PR:000039423	sequence
PR:000039387	sequence
PR:000039319	sequence
PR:000039311	sequence
PR:000039185	sequence

PR:000040010	sequence
PR:000040008	sequence
PR:000040004	sequence
PR:000039999	sequence
PR:000039998	sequence
PR:000039994	sequence
PR:000039993	sequence
PR:000039991	sequence
PR:000039978	sequence
PR:000039965	sequence
PR:000039954	sequence
PR:000039928	sequence
PR:000039927	sequence
PR:000039916	sequence
PR:000039908	sequence
PR:000039903	sequence
PR:000039899	sequence
PR:000039882	sequence
PR:000039823	sequence
PR:000039813	sequence
PR:000039803	sequence
PR:000039785	sequence
PR:000039783	sequence
PR:000039759	sequence

PR:000040657	sequence
PR:000040640	sequence
PR:000040637	sequence
PR:000040609	sequence
PR:000040543	sequence
PR:000040533	sequence
PR:000040480	sequence
PR:000040454	sequence
PR:000040415	sequence
PR:000040398	sequence
PR:000040387	sequence
PR:000040384	sequence
PR:000040370	sequence
PR:000040339	sequence
PR:000040320	sequence
PR:000040297	sequence
PR:000040208	sequence
PR:000040169	sequence
PR:000040129	sequence
PR:000040093	sequence
PR:000040075	sequence
PR:000040055	sequence
PR:000040044	sequence
PR:000040042	sequence

PR:000042388	sequence
PR:000042384	sequence
PR:000042371	sequence
PR:000042370	sequence
PR:000042369	sequence
PR:000042367	sequence
PR:000042354	sequence
PR:000042200	sequence
PR:000042165	sequence
PR:000041987	sequence
PR:000041986	sequence
PR:000041690	sequence
PR:000041490	sequence
PR:000041481	sequence
PR:000041480	sequence
PR:000041381	sequence
PR:000041273	sequence
PR:000041234	sequence
PR:000041233	sequence
PR:000041232	sequence
PR:000040859	sequence
PR:000040750	sequence
PR:000040749	sequence
PR:000040674	sequence

PR:000043349	sequence
PR:000043340	sequence
PR:000043313	sequence
PR:000043267	sequence
PR:000043266	sequence
PR:000043231	sequence
PR:000042986	sequence
PR:000042982	sequence
PR:000042911	sequence
PR:000042908	sequence
PR:000042882	sequence
PR:000042859	sequence
PR:000042853	sequence
PR:000042849	sequence
PR:000042823	sequence
PR:000042680	sequence
PR:000042663	sequence
PR:000042621	sequence
PR:000042527	sequence
PR:000042513	sequence
PR:000042502	sequence
PR:000042477	sequence
PR:000042431	sequence
PR:000042423	sequence

PR:000044036	sequence
PR:000044019	sequence
PR:000043942	sequence
PR:000043910	sequence
PR:000043901	sequence
PR:000043886	sequence
PR:000043875	sequence
PR:000043825	sequence
PR:000043819	sequence
PR:000043754	sequence
PR:000043658	sequence
PR:000043630	sequence
PR:000043623	sequence
PR:000043583	sequence
PR:000043581	sequence
PR:000043568	sequence
PR:000043558	sequence
PR:000043513	sequence
PR:000043501	sequence
PR:000043474	sequence
PR:000043471	sequence
PR:000043401	sequence
PR:000043356	sequence
PR:000043350	sequence

PR:O00232	organism-gene
PR:O00231-2	organism-sequence
PR:O00231-1	organism-sequence
PR:O00231	organism-gene
PR:000044279	sequence
PR:000044260	sequence
PR:000044248	sequence
PR:000044231	sequence
PR:000044224	sequence
PR:000044192	sequence
PR:000044180	sequence
PR:000044177	sequence
PR:000044165	sequence
PR:000044161	sequence
PR:000044158	sequence
PR:000044137	sequence
PR:000044136	sequence
PR:000044120	sequence
PR:000044116	sequence
PR:000044111	sequence
PR:000044104	sequence
PR:000044100	sequence
PR:000044092	sequence
PR:000044089	sequence

PR:O14981-2	organism-sequence
PR:O14981-1	organism-sequence
PR:O14981	organism-gene
PR:O14777-1	organism-sequence
PR:O14777	organism-gene
PR:O14735-3	organism-sequence
PR:O14735-2	organism-sequence
PR:O14735-1	organism-sequence
PR:O14735	organism-gene
PR:O14561-1	organism-sequence
PR:O14561	organism-gene
PR:O00567	organism-gene
PR:O00566	organism-gene
PR:O00541-2	organism-sequence
PR:O00541-1	organism-sequence
PR:O00541	organism-gene
PR:O00487-1	organism-sequence
PR:O00487	organism-gene
PR:O00471-1	organism-sequence
PR:O00471	organism-gene
PR:O00311-1	organism-sequence
PR:O00311	organism-gene
PR:O00267-2	organism-sequence
PR:O00267-1	organism-sequence
PR:O00267	organism-gene
PR:O00232-2	organism-sequence
PR:O00232-1	organism-sequence

PR:O43242-1	organism-sequence
PR:O43242	organism-gene
PR:O43172-2	organism-sequence
PR:O43172-1	organism-sequence
PR:O43172	organism-gene
PR:O43148-2	organism-sequence
PR:O43148-1	organism-sequence
PR:O43148	organism-gene
PR:O43143-1	organism-sequence
PR:O43143	organism-gene
PR:O15498-2	organism-sequence
PR:O15498-1	organism-sequence
PR:O15498	organism-gene
PR:O15381-5	organism-sequence
PR:O15381-4	organism-sequence
PR:O15381-3	organism-sequence
PR:O15381-2	organism-sequence
PR:O15381-1	organism-sequence
PR:O15381	organism-gene
PR:O15269-2	organism-sequence
PR:O15269-1	organism-sequence
PR:O15269	organism-gene
PR:O15182-1	organism-sequence
PR:O15182	organism-gene
PR:O15160-2	organism-sequence
PR:O15160-1	organism-sequence
PR:O15160	organism-gene

PR:O75027	organism-gene
PR:O60841	organism-gene
PR:O60832-2	organism-sequence
PR:O60832-1	organism-sequence
PR:O60832	organism-gene
PR:O60762	organism-gene
PR:O43929-3	organism-sequence
PR:O43929-2	organism-sequence
PR:O43929-1	organism-sequence
PR:O43929	organism-gene
PR:O43913-2	organism-sequence
PR:O43913-1	organism-sequence
PR:O43913	organism-gene
PR:O43660-2	organism-sequence
